Provinsi,Komoditas,Tahun,Luas Panen,Produksi
JAWA TIMUR,Jagung,2010,1257721.0,5587318.0
JAWA TIMUR,Jagung,2011,1204063.0,5443705.0
JAWA TIMUR,Jagung,2012,1232523.0,6295301.0
JAWA TIMUR,Jagung,2013,1199544.0,5760959.0
JAWA TIMUR,Jagung,2014,1202300.0,5737382.0
JAWA TIMUR,Jagung,2015,1213654.0,6131163.0
JAWA TIMUR,Jagung,2020,722182.15,4134908.41
JAWA TIMUR,Jagung,2021,687502.66,3991492.48
JAWA TIMUR,Jagung,2022,817449.46,4952602.76
JAWA TIMUR,Jagung,2023,755071.41,4429459.28
KALIMANTAN BARAT,Jagung,1993,18331.0,24355.0
KALIMANTAN BARAT,Jagung,1994,14947.0,19080.0
KALIMANTAN BARAT,Jagung,1995,20088.0,25922.0
KALIMANTAN BARAT,Jagung,1996,25003.0,37307.0
KALIMANTAN BARAT,Jagung,1997,25440.0,40984.0
KALIMANTAN BARAT,Jagung,1998,20257.0,32614.0
KALIMANTAN BARAT,Jagung,1999,23970.0,37848.0
KALIMANTAN BARAT,Jagung,2000,18237.0,31631.0
KALIMANTAN BARAT,Jagung,2001,16337.0,35500.0
KALIMANTAN BARAT,Jagung,2002,20496.0,46813.0
KALIMANTAN BARAT,Jagung,2003,31438.0,84581.0
KALIMANTAN BARAT,Jagung,2004,35747.0,102555.0
KALIMANTAN BARAT,Jagung,2005,37743.0,127458.0
KALIMANTAN BARAT,Jagung,2006,38271.0,136777.0
KALIMANTAN BARAT,Jagung,2007,36295.0,154118.0
KALIMANTAN BARAT,Jagung,2008,42834.0,181407.0
KALIMANTAN BARAT,Jagung,2009,41302.0,166833.0
KALIMANTAN BARAT,Jagung,2010,45014.0,168273.0
KALIMANTAN BARAT,Jagung,2011,45593.0,160819.0
KALIMANTAN BARAT,Jagung,2012,44642.0,170123.0
KALIMANTAN BARAT,Jagung,2013,42621.0,159973.0
KALIMANTAN BARAT,Jagung,2014,36823.0,135461.0
KALIMANTAN BARAT,Jagung,2015,31851.0,103742.0
KALIMANTAN BARAT,Jagung,2020,4721.73,20284.05
KALIMANTAN BARAT,Jagung,2021,8916.04,44252.44
KALIMANTAN BARAT,Jagung,2022,16371.14,71717.47
KALIMANTAN BARAT,Jagung,2023,15624.22,68028.76
KALIMANTAN SELATAN,Jagung,1993,15137.0,18690.0
KALIMANTAN SELATAN,Jagung,1994,14972.0,18755.0
KALIMANTAN SELATAN,Jagung,1995,13964.0,17645.0
KALIMANTAN SELATAN,Jagung,1996,21598.0,28372.0
KALIMANTAN SELATAN,Jagung,1997,18212.0,26334.0
KALIMANTAN SELATAN,Jagung,1998,21396.0,32064.0
KALIMANTAN SELATAN,Jagung,1999,23058.0,34905.0
KALIMANTAN SELATAN,Jagung,2000,24578.0,37011.0
KALIMANTAN SELATAN,Jagung,2001,21019.0,38279.0
KALIMANTAN SELATAN,Jagung,2002,16760.0,29012.0
KALIMANTAN SELATAN,Jagung,2003,15371.0,30158.0
KALIMANTAN SELATAN,Jagung,2004,15491.0,45686.0
KALIMANTAN SELATAN,Jagung,2005,15604.0,48103.0
KALIMANTAN SELATAN,Jagung,2006,17042.0,58283.0
KALIMANTAN SELATAN,Jagung,2007,22241.0,100957.0
KALIMANTAN SELATAN,Jagung,2008,20116.0,95064.0
KALIMANTAN SELATAN,Jagung,2009,22979.0,113885.0
KALIMANTAN SELATAN,Jagung,2010,22584.0,116449.0
KALIMANTAN SELATAN,Jagung,2011,19487.0,99779.0
KALIMANTAN SELATAN,Jagung,2012,21723.0,112066.0
KALIMANTAN SELATAN,Jagung,2013,20629.0,107043.0
KALIMANTAN SELATAN,Jagung,2014,20862.0,117986.0
KALIMANTAN SELATAN,Jagung,2015,21926.0,128505.0
KALIMANTAN SELATAN,Jagung,2020,28796.76,152796.9
KALIMANTAN SELATAN,Jagung,2021,23340.2,135325.9
KALIMANTAN SELATAN,Jagung,2022,25342.64,152255.06
KALIMANTAN SELATAN,Jagung,2023,19264.07,119009.38
KALIMANTAN TENGAH,Jagung,1993,2145.0,2831.0
KALIMANTAN TENGAH,Jagung,1994,3955.0,5475.0
KALIMANTAN TENGAH,Jagung,1995,4648.0,6951.0
KALIMANTAN TENGAH,Jagung,1996,6685.0,10127.0
KALIMANTAN TENGAH,Jagung,1997,4444.0,7042.0
KALIMANTAN TENGAH,Jagung,1998,6010.0,9049.0
KALIMANTAN TENGAH,Jagung,1999,7710.0,11645.0
KALIMANTAN TENGAH,Jagung,2000,6319.0,9239.0
KALIMANTAN TENGAH,Jagung,2001,5073.0,7830.0
KALIMANTAN TENGAH,Jagung,2002,4823.0,7730.0
KALIMANTAN TENGAH,Jagung,2003,5640.0,9226.0
KALIMANTAN TENGAH,Jagung,2004,580.0,969.0
KALIMANTAN TENGAH,Jagung,2005,1447.0,2400.0
KALIMANTAN TENGAH,Jagung,2006,2569.0,7367.0
KALIMANTAN TENGAH,Jagung,2007,1385.0,3971.0
KALIMANTAN TENGAH,Jagung,2008,2104.0,5982.0
KALIMANTAN TENGAH,Jagung,2009,2821.0,8048.0
KALIMANTAN TENGAH,Jagung,2010,3247.0,9345.0
KALIMANTAN TENGAH,Jagung,2011,3195.0,9208.0
KALIMANTAN TENGAH,Jagung,2012,2752.0,7947.0
KALIMANTAN TENGAH,Jagung,2013,2062.0,6217.0
KALIMANTAN TENGAH,Jagung,2014,2594.0,8138.0
KALIMANTAN TENGAH,Jagung,2015,2507.0,8189.0
KALIMANTAN TENGAH,Jagung,2020,5816.31,30998.17
KALIMANTAN TENGAH,Jagung,2021,6591.87,35440.16
KALIMANTAN TENGAH,Jagung,2022,7459.13,35933.96
KALIMANTAN TENGAH,Jagung,2023,6028.2,22696.29
KALIMANTAN TIMUR,Jagung,1993,7676.0,12070.0
KALIMANTAN TIMUR,Jagung,1994,8113.0,12169.0
KALIMANTAN TIMUR,Jagung,1995,8276.0,14062.0
KALIMANTAN TIMUR,Jagung,1996,6529.0,10819.0
KALIMANTAN TIMUR,Jagung,1997,5418.0,9480.0
KALIMANTAN TIMUR,Jagung,1998,7032.0,11733.0
KALIMANTAN TIMUR,Jagung,1999,7763.0,13577.0
KALIMANTAN TIMUR,Jagung,2000,7844.0,13827.0
KALIMANTAN TIMUR,Jagung,2001,5973.0,10378.0
KALIMANTAN TIMUR,Jagung,2002,6372.0,12181.0
KALIMANTAN TIMUR,Jagung,2003,5311.0,10997.0
KALIMANTAN TIMUR,Jagung,2004,5466.0,12412.0
KALIMANTAN TIMUR,Jagung,2005,4722.0,11180.0
KALIMANTAN TIMUR,Jagung,2006,6051.0,1441.0
KALIMANTAN TIMUR,Jagung,2007,4919.0,1162.0
KALIMANTAN TIMUR,Jagung,2008,5375.0,12795.0
KALIMANTAN TIMUR,Jagung,2009,5141.0,12520.0
KALIMANTAN TIMUR,Jagung,2010,4693.0,11993.0
KALIMANTAN TIMUR,Jagung,2011,2965.0,7341.0
KALIMANTAN TIMUR,Jagung,2012,4104.0,9940.0
KALIMANTAN TIMUR,Jagung,2013,1858.0,4864.0
KALIMANTAN TIMUR,Jagung,2014,2873.0,7567.0
KALIMANTAN TIMUR,Jagung,2015,2307.0,8379.0
KALIMANTAN TIMUR,Jagung,2020,1989.07,10584.65
KALIMANTAN TIMUR,Jagung,2021,2526.48,14554.97
KALIMANTAN TIMUR,Jagung,2022,3624.48,17045.44
